Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
148,Dontrelle Inman,IND,29,WR,9,4,39,28,71.80%,304,10.9,3,16,29,7.8,3.1,33.8,0
149,Wendell Smallwood,PHI,24,RB,16,6,35,28,80.00%,230,8.2,2,9,36,6.6,1.8,14.4,2
150,Tre'Quan Smith,NOR,22,WR,15,7,44,28,63.60%,427,15.3,5,23,62,9.7,1.9,28.5,0
151,Matt Breida,SFO,23,RB,14,13,31,27,87.10%,261,9.7,2,12,26,8.4,1.9,18.6,1
152,Robert Foster,BUF,24,WR,13,3,44,27,61.40%,541,20,3,20,75,12.3,2.1,41.6,0
153,Blake Jarwin,DAL,24,TE,16,4,36,27,75.00%,307,11.4,3,16,39,8.5,1.7,19.2,0
154,Greg Olsen,CAR,33,TE,9,9,38,27,71.10%,291,10.8,4,18,23,7.7,3,32.3,0
155,Zach Pascal,IND,24,WR,16,4,46,27,58.70%,268,9.9,2,15,28,5.8,1.7,16.8,0
156,Dante Pettis,SFO,23,WR,12,7,45,27,60.00%,467,17.3,5,19,75,10.4,2.3,38.9,2
157,Ito Smith,ATL,23,RB,14,0,32,27,84.40%,152,5.6,0,9,20,4.8,1.9,10.9,1
158,Jamaal Williams,GNB,23,RB,16,8,41,27,65.90%,210,7.8,0,11,26,5.1,1.7,13.1,0
159,Jack Doyle,IND,28,TE,6,6,33,26,78.80%,245,9.4,2,14,20,7.4,4.3,40.8,1
160,Kareem Hunt,KAN,23,RB,11,11,35,26,74.30%,378,14.5,7,16,67,10.8,2.4,34.4,0
161,Aaron Jones,GNB,24,RB,12,8,35,26,74.30%,206,7.9,1,12,24,5.9,2.2,17.2,1
162,David Moore,SEA,23,WR,16,7,53,26,49.10%,445,17.1,5,19,54,8.4,1.6,27.8,2
163,Jaylen Samuels,PIT,22,RB,14,3,29,26,89.70%,199,7.7,3,10,23,6.9,1.9,14.2,1
164,Tajae Sharpe,TEN,24,WR,16,13,47,26,55.30%,316,12.2,2,22,28,6.7,1.6,19.8,0
165,Geoff Swaim,DAL,25,TE,9,9,32,26,81.30%,242,9.3,1,11,43,7.6,2.9,26.9,0
166,Trent Taylor,SFO,24,WR,14,0,41,26,63.40%,215,8.3,1,11,23,5.2,1.9,15.4,1
167,Albert Wilson,MIA,26,WR,7,3,35,26,74.30%,391,15,4,11,75,11.2,3.7,55.9,0
168,Kelvin Benjamin,2TM,27,WR,15,10,67,25,37.30%,380,15.2,1,16,40,5.7,1.7,25.3,0
169,Vernon Davis,WAS,34,TE,14,8,36,25,69.40%,367,14.7,2,15,53,10.2,1.8,26.2,0
170,Rhett Ellison,NYG,30,TE,14,12,34,25,73.50%,272,10.9,1,13,29,8,1.8,19.4,0
171,Lamar Miller*,HOU,27,RB,14,14,35,25,71.40%,163,6.5,1,8,16,4.7,1.8,11.6,1
172,Ty Montgomery,2TM,25,WR,13,0,40,25,62.50%,235,9.4,0,7,43,5.9,1.9,18.1,2
173,Pierre Garcon,SFO,32,WR,8,8,46,24,52.20%,286,11.9,1,14,25,6.2,3,35.8,0
174,Ryan Griffin,HOU,28,TE,14,11,43,24,55.80%,305,12.7,0,15,47,7.1,1.7,21.8,0
175,Tyler Higbee,LAR,25,TE,16,16,34,24,70.60%,292,12.2,2,16,36,8.6,1.5,18.3,1
176,Matt LaCosse,DEN,26,TE,15,5,37,24,64.90%,250,10.4,1,11,44,6.8,1.6,16.7,0
177,James O'Shaughnessy,JAX,26,TE,14,9,38,24,63.20%,214,8.9,0,10,17,5.6,1.7,15.3,0
178,DeVante Parker,MIA,25,WR,11,7,47,24,51.10%,309,12.9,1,14,46,6.6,2.2,28.1,0
179,Nick Boyle,BAL,25,TE,16,13,37,23,62.20%,213,9.3,0,10,25,5.8,1.4,13.3,0
180,Marquise Goodwin,SFO,28,WR,11,8,43,23,53.50%,395,17.2,4,19,67,9.2,2.1,35.9,1
181,Tim Patrick,DEN,25,WR,16,4,41,23,56.10%,315,13.7,1,15,26,7.7,1.4,19.7,2
182,Damien Williams,KAN,26,RB,16,3,24,23,95.80%,160,7,2,9,32,6.7,1.4,10,1
183,DeAndre Carter,2TM,25,WR,14,4,25,22,88.00%,216,9.8,0,10,50,8.6,1.6,15.4,5
184,Corey Clement,PHI,24,RB,11,0,25,22,88.00%,192,8.7,0,10,23,7.7,2,17.5,4
185,Jason Croom,BUF,24,TE,15,3,35,22,62.90%,259,11.8,1,10,26,7.4,1.5,17.3,2
186,Leonard Fournette,JAX,23,RB,8,8,26,22,84.60%,185,8.4,1,10,31,7.1,2.8,23.1,0
187,Mike Gesicki,MIA,23,TE,16,7,32,22,68.80%,202,9.2,0,9,27,6.3,1.4,12.6,1
188,Latavius Murray,MIN,28,RB,16,6,26,22,84.60%,141,6.4,0,7,16,5.4,1.4,8.8,0
189,Demarcus Robinson,KAN,24,WR,16,5,33,22,66.70%,288,13.1,4,12,89,8.7,1.4,18,0
190,Charles Clay,BUF,29,TE,13,12,36,21,58.30%,184,8.8,0,11,21,5.1,1.6,14.2,1
191,Isaiah Crowell,NYJ,25,RB,13,6,28,21,75.00%,152,7.2,0,7,21,5.4,1.6,11.7,0
192,Jakeem Grant,MIA,26,WR,10,2,34,21,61.80%,268,12.8,2,13,52,7.9,2.1,26.8,0
193,Mark Ingram,NOR,29,RB,12,6,27,21,77.80%,170,8.1,1,5,28,6.3,1.8,14.2,3
194,Cordarrelle Patterson,NWE,27,WR,15,5,28,21,75.00%,247,11.8,3,11,55,8.8,1.4,16.5,1
195,John Ross,CIN,23,WR,13,10,58,21,36.20%,210,10,7,13,39,3.6,1.6,16.2,0
196,Equanimeous St. Brown,GNB,22,WR,12,7,36,21,58.30%,328,15.6,0,13,54,9.1,1.8,27.3,0
197,Levine Toilolo,DET,27,TE,16,10,24,21,87.50%,263,12.5,1,15,39,11,1.3,16.4,0
